date,native,retweet,full,tmax,tmin,tmed,urel
2015-05-15,3722,1682,5404,22.5,12,17.1,81.3
2015-05-16,2869,1367,4236,21.5,9.7,17.1,76.2
2015-05-17,3326,1462,4788,27.6,15,22.8,56.2
2015-05-18,3523,1379,4902,30.3,12,22.2,53.7
2015-05-19,3282,1341,4623,26.3,14,20.2,62
2015-05-20,2817,1208,4025,22,12,16.6,82.4
2015-05-21,2439,1010,3449,20,13,15.2,77.9
2015-05-22,2445,1155,3600,16,12,13.9,73.5
2015-05-23,2147,862,3009,17,12,14.2,86.2
2015-05-24,2417,979,3396,21,11,16.3,69.9
2015-05-25,2439,887,3326,25,8.9,17.3,63.2
2015-05-26,2712,956,3668,24.4,12.8,16.4,78
2015-05-27,2784,1182,3966,24,13,17.5,59.2
2015-05-28,2569,1001,3570,24.8,10,17.6,55.5
2015-05-29,2749,1110,3859,26,9.6,18.5,59.2
2015-05-30,2617,1052,3669,25.3,11,18.7,60.5
2015-05-31,2742,877,3619,27.3,11.4,19.5,59.2
2015-06-01,3480,1361,4841,29,11.8,20.9,55.3
2015-06-02,3889,1511,5400,29,13,21.1,57.9
2015-06-03,6566,2435,9001,31,13.5,22.6,60.4
2015-06-04,9264,4216,13480,33.3,15.6,24.9,56.1
2015-06-05,10450,5939,16389,34,17,26.3,49.2
2015-06-06,9736,4700,14436,35,16.8,26.8,45.9
2015-06-07,8888,4916,13804,33.3,17.7,26.8,47.7
2015-06-08,7222,4309,11531,32.7,17.9,26.1,48.9
2015-06-09,5208,3389,8597,28.7,16.7,23.1,61.6
2015-06-10,5038,2022,7060,31.9,16.5,22.1,66.8
2015-06-11,5492,2180,7672,32.9,15.6,23.8,61.3
2015-06-12,4874,2512,7386,30.4,17.6,23.4,62.3
2015-06-13,4812,2721,7533,32.6,16.5,24.5,51.8
2015-06-14,4640,2309,6949,27.5,17,21,73.6
2015-06-15,4102,1600,5702,26.3,17,20.4,82.9
2015-06-16,4803,1893,6696,27.7,16,22,67.5
2015-06-17,4127,2472,6599,25.7,17.5,21,64.5
2015-06-18,3538,2701,6239,28.3,14.7,21.6,56.7
2015-06-19,3712,1818,5530,27,15.6,21.6,66
2015-06-20,3603,1772,5375,28.4,16.3,22,56
2015-06-21,3711,1422,5133,27.8,15,21.7,48.7
2015-06-22,3732,1627,5359,29.4,14.5,22.5,56.8
2015-06-23,2204,1354,3558,30.4,18.5,24.5,55.8
2015-06-24,4470,2741,7211,26.1,15.5,21.3,50.4
2015-06-25,4243,1865,6108,29.4,13.8,22.7,44.3
2015-06-26,4310,1972,6282,31.2,14.6,23.7,45.4
2015-06-27,4245,1756,6001,31.2,15,23.6,51.4
2015-06-28,4817,2261,7078,33.4,16,25.3,51.1
2015-06-29,3601,1932,5533,32.5,17.9,26.4,48.8
2015-06-30,4533,2504,7037,34,19.5,26.9,52.6
2015-07-01,7866,4855,12721,35.7,18.3,27.7,44
2015-07-02,9210,4765,13975,35.6,20,28.2,51.1
2015-07-03,11051,5775,16826,37,20.8,29.3,47
2015-07-04,8819,5474,14293,37,20.4,29.4,46.1
2015-07-05,8691,5005,13696,37.2,21.5,29.6,47.8
2015-07-06,10817,7049,17866,36.1,21.6,28.3,54.6
2015-07-07,14246,9600,23846,36.7,20.9,28.9,50.4
2015-07-08,7610,4857,12467,34.6,23,28.4,56.2
2015-07-09,9647,6695,16342,33.2,22,27.5,58.2
2015-07-10,6934,4692,11626,32.5,21,27.3,40.7
2015-07-11,5641,3577,9218,35,16.7,26.8,44.3
2015-07-12,6938,4838,11776,35.3,19.9,27.7,50.6
2015-07-13,8454,4319,12773,33,20,26.7,56.6
2015-07-14,8498,5565,14063,36.7,19.6,28.4,46.3
2015-07-15,10319,6353,16672,37.8,20.9,29.6,41.3
2015-07-16,12652,8381,21033,38.1,21.2,29.8,41.1
2015-07-17,12609,8352,20961,37,20,29.3,42.7
2015-07-18,10110,7075,17185,37.2,20,29.2,44.9
2015-07-19,9857,6666,16523,37.5,18.9,28.7,41.7
2015-07-20,13770,9212,22982,37.1,19.6,28.9,42.8
2015-07-21,14738,9999,24737,38.8,21,29.6,43.6
2015-07-22,15088,9087,24175,39,21,28.4,48.5
2015-07-23,12335,6701,19036,37,19,28.1,51.4
2015-07-24,9296,5942,15238,37,21.4,27.2,56.7
2015-07-25,6668,3815,10483,30,20.7,24.9,70.5
2015-07-26,5412,3121,8533,34.3,19.7,26.8,52.2
2015-07-27,4551,2831,7382,32.2,21.4,26.2,57.2
2015-07-28,5584,3540,9124,31,19,25.3,58.1
2015-07-29,4777,3463,8240,31.4,19,25.5,55.5
2015-07-30,6299,4255,10554,33.8,21.4,27.4,43.8
2015-07-31,6159,4217,10376,32.9,20,26.4,50.3
2015-08-01,5375,2993,8368,33,18.8,25.2,57.4
2015-08-02,5092,3373,8465,33,19,25.7,59.6
2015-08-03,6382,3782,10164,35.4,19,27.8,48.2
2015-08-04,4698,2584,7282,36.1,19.6,27.7,52.4
2015-08-05,6508,3602,10110,37,20.4,28.8,49.8
2015-08-06,7514,4860,12374,37,20.9,29.9,43.4
2015-08-07,10521,6474,16995,38.2,21,30.7,41.5
2015-08-08,7846,4636,12482,38,21.6,30.4,43.4
2015-08-09,6488,4220,10708,37,23,27.9,54
2015-08-10,5769,3164,8933,26.4,18.7,21.9,86.9
2015-08-11,4692,2732,7424,33.4,19,25.8,59.6
2015-08-12,4439,3205,7644,35.7,18,27.9,42.4
2015-08-13,4669,2629,7298,37.7,19,27.9,41.3
2015-08-14,4729,2487,7216,34,19.2,26.4,55.1
2015-08-15,3780,2049,5829,30,19.7,23.9,66.5
2015-08-16,3366,2004,5370,28.2,18,22.5,62.3
2015-08-17,3049,1578,4627,28.4,16,22.1,59.4
2015-08-18,3034,1943,4977,30,16,23.3,59.9
2015-08-19,3359,1976,5335,28.7,16,20.6,76.7
2015-08-20,2490,1489,3979,30.2,14.5,22.3,60.3
2015-08-21,3133,1788,4921,29,16,22.9,55.6
2015-08-22,2921,1486,4407,30.4,15.7,23.7,46.2
2015-08-23,3306,3270,6576,30.1,15.4,23.4,50.6
2015-08-24,4191,3397,7588,26.5,17.7,22.4,78.4
2015-08-25,3617,2220,5837,29,16,22.8,66.3
2015-08-26,3772,3253,7025,32.1,14.3,23.1,61.1
2015-08-27,3598,2015,5613,33,16.8,24.7,58.1
2015-08-28,3307,1702,5009,33,17.4,25.2,57
2015-08-29,3699,1756,5455,35.6,17,26.2,53.7
2015-08-30,4022,2441,6463,34.2,18.8,26.3,57.3
2015-08-31,4248,3187,7435,34,16.9,25.2,53.1
2015-09-01,4683,3745,8428,32,16,23.9,57.5
2015-09-02,3457,2092,5549,31,17.1,23.5,59.3
2015-09-03,3425,2130,5555,29.2,15.5,22.9,62.6
2015-09-04,3778,1951,5729,29.1,18,23.4,63
2015-09-05,3490,1848,5338,27.3,16,21.7,59.3
2015-09-06,2770,1452,4222,28,13.6,20.9,51.4
2015-09-07,2671,1416,4087,28.6,11.9,20.8,47.9
2015-09-08,3599,2026,5625,26.7,15,21.3,38.7
2015-09-09,4036,2787,6823,25.7,10.4,19.1,46.3
2015-09-10,2856,2273,5129,26.2,14.5,20.5,42.7
2015-09-11,2405,1699,4104,27,11.8,20.1,49.7
2015-09-12,2775,1761,4536,28,12,20.4,60.1
2015-09-13,3918,3123,7041,22,14,18.6,83
2015-09-14,4329,2814,7143,28,20,24.6,70.7
2015-09-15,4193,2809,7002,27,18.9,22.6,69.8
